CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,8,1,5,240,0,56,100,0.56,13,34,0.382,14,16,0.875,14,25,47,27,16,6,7,4,139,47.0,139.0,0,0.6916666666666667,15.0,2022-23,2023-01-20,0022200684
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,7,1,5,240,0,49,86,0.57,13,26,0.5,19,20,0.95,7,28,42,28,23,7,12,4,130,42.0,130.0,0,0.6470588235294118,8.0,2022-23,2023-01-18,0022200670
Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,6,1,5,240,0,45,76,0.592,13,27,0.481,18,22,0.818,2,26,34,27,17,9,16,5,121,34.0,121.0,0,0.6153846153846154,8.0,2022-23,2023-01-16,0022200661
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,2,1,5,240,0,43,84,0.512,11,27,0.407,17,18,0.944,5,35,42,19,22,6,12,4,114,42.0,114.0,1,0.5636363636363636,11.0,2022-23,2023-01-14,0022200644
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,12,1,5,240,0,41,94,0.436,16,33,0.485,15,21,0.714,14,36,62,26,22,6,14,9,113,62.0,113.0,0,0.5583333333333333,2.0,2022-23,2023-01-13,0022200633
OPPONENTS, Bucks,1610612749,1,0,0,0,1,0,1,5,1,5,240,0,45,98,0.459,18,48,0.375,6,11,0.545,14,43,62,28,15,6,11,4,114,62.0,114.0,0,0.5934959349593496,9.0,2022-23,2023-01-11,0022200620
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,4,1,5,240,0,44,89,0.494,8,26,0.308,16,20,0.8,7,36,47,22,18,7,9,9,112,47.0,112.0,0,0.584070796460177,4.0,2022-23,2023-01-08,0022200604
Los Angeles,Lakers,1610612747,1,0,1,0,0,0,2,6,1,5,240,0,51,93,0.548,16,35,0.457,12,16,0.75,7,44,57,33,18,6,18,5,130,57.0,130.0,0,0.6131386861313869,16.0,2022-23,2023-01-06,0022200590
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,2,1,5,240,0,45,84,0.536,10,30,0.333,20,22,0.909,7,37,46,21,21,9,16,4,120,46.0,120.0,0,0.5789473684210527,3.0,2022-23,2023-01-04,0022200575
Golden State,Warriors,1610612744,1,0,1,0,0,0,0,7,1,5,290,0,54,121,0.446,19,59,0.322,16,24,0.667,23,46,76,34,23,9,19,6,143,76.0,143.0,0,0.5827814569536424,2.0,2022-23,2023-01-02,0022200558
