CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,1,1,5,240,0,50,100,0.5,10,34,0.294,15,16,0.938,13,35,49,24,17,4,10,4,125,49.0,125.0,0,0.6115702479338843,-9.0,2022-23,2023-03-11,0022201008
Washington,Wizards,1610612764,0,1,0,1,0,0,1,9,1,5,240,0,43,88,0.489,7,27,0.259,14,18,0.778,7,36,52,27,17,8,15,6,107,52.0,107.0,0,0.5691056910569106,-7.0,2022-23,2023-03-10,0022200999
Washington,Wizards,1610612764,0,1,0,1,0,0,2,6,1,5,240,0,47,83,0.566,12,29,0.414,14,17,0.824,6,33,45,34,16,9,19,1,120,45.0,120.0,0,0.6230769230769231,-2.0,2022-23,2023-03-08,0022200985
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,9,1,5,240,0,51,92,0.554,9,29,0.31,17,23,0.739,12,25,46,28,25,5,11,0,128,46.0,128.0,0,0.6638655462184874,-2.0,2022-23,2023-03-06,0022200974
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,5,1,5,240,0,37,79,0.468,9,30,0.3,26,30,0.867,10,27,42,22,23,12,16,1,109,42.0,109.0,0,0.5514018691588785,-8.0,2022-23,2023-03-04,0022200958
OPPONENTS, Trail Blazers,1610612757,0,1,0,0,0,1,1,8,1,5,240,0,41,87,0.471,13,39,0.333,16,20,0.8,9,25,42,22,15,11,18,7,111,42.0,111.0,0,0.5338983050847458,-18.0,2022-23,2023-03-03,0022200947
Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,6,1,5,240,0,43,93,0.462,13,35,0.371,17,19,0.895,13,29,48,21,17,4,9,7,116,48.0,116.0,0,0.5818181818181818,-3.0,2022-23,2023-02-28,0022200923
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,1,6,1,5,240,0,43,87,0.494,14,39,0.359,27,29,0.931,6,31,43,20,21,12,10,6,127,43.0,127.0,0,0.5675675675675675,-2.0,2022-23,2023-02-26,0022200911
OPPONENTS, Cavaliers,1610612739,0,1,0,0,0,1,0,6,1,5,240,0,40,88,0.455,13,35,0.371,26,29,0.897,10,25,41,20,23,9,11,6,119,41.0,119.0,0,0.5504587155963303,-17.0,2022-23,2023-02-24,0022200896
Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,10,1,5,240,0,40,97,0.412,5,26,0.192,16,21,0.762,8,32,50,25,18,6,5,7,101,50.0,101.0,0,0.5462184873949579,-21.0,2022-23,2023-02-15,0022200876
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,5,1,5,240,0,53,108,0.491,11,28,0.393,21,21,1.0,16,26,47,26,15,9,12,4,138,47.0,138.0,0,0.6076923076923076,-6.0,2022-23,2023-02-13,0022200857
OPPONENTS, Spurs,1610612759,0,1,0,0,0,1,1,8,1,5,240,0,40,94,0.426,11,37,0.297,15,17,0.882,14,35,57,25,17,9,20,5,106,57.0,106.0,0,0.52,-19.0,2022-23,2023-02-11,0022200850
OPPONENTS, Suns,1610612756,0,1,0,0,0,1,1,8,1,5,240,0,39,86,0.453,7,30,0.233,22,29,0.759,9,26,43,24,19,14,11,10,107,43.0,107.0,0,0.5625,-9.0,2022-23,2023-02-09,0022200832
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,9,1,5,240,0,38,85,0.447,12,36,0.333,19,25,0.76,10,31,50,30,21,4,12,6,107,50.0,107.0,0,0.5811965811965812,-9.0,2022-23,2023-02-07,0022200818
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,4,1,5,240,0,44,91,0.484,6,20,0.3,14,17,0.824,10,33,47,26,18,7,16,7,108,47.0,108.0,0,0.5691056910569106,-20.0,2022-23,2023-02-04,0022200801
Utah,Jazz,1610612762,0,1,0,1,0,0,0,6,1,5,240,0,41,91,0.451,13,44,0.295,13,18,0.722,13,37,56,20,22,4,15,2,108,56.0,108.0,0,0.5398230088495575,-7.0,2022-23,2023-02-03,0022200792
Phoenix,Suns,1610612756,0,1,0,1,0,0,0,6,1,5,240,0,35,86,0.407,4,28,0.143,26,31,0.839,12,32,50,22,13,8,16,4,100,50.0,100.0,0,0.5089285714285714,-32.0,2022-23,2023-02-01,0022200777
